"Object File","Total Size","DIRAM",".bss",".data",".text",".vectors","Flash Data",".rodata",".appdesc","Flash Code",".text","RTC FAST",".rtc_reserved",".force_fast"
"pmksa_cache.c.obj","1098","0","0","0","0","0","0","0","0","1098","1098","0","0","0"
"heap_caps_base.c.obj","1089","1027","0","0","1027","0","62","62","0","0","0","0","0","0"
"libc_a-nano-vfprintf_i.o","1089","0","0","0","0","0","88","88","0","1001","1001","0","0","0"
"cipher.c.obj","1081","0","0","0","0","0","0","0","0","1081","1081","0","0","0"
"wifi_default.c.obj","1080","13","13","0","0","0","34","34","0","1033","1033","0","0","0"
"mac_addr.c.obj","1067","48","0","48","0","0","57","57","0","962","962","0","0","0"
"eloop.c.obj","1063","36","36","0","0","0","0","0","0","1027","1027","0","0","0"
"sha.c.obj","1053","24","0","24","0","0","19","19","0","1010","1010","0","0","0"
"hal_crypto.o","1053","0","0","0","0","0","27","27","0","1026","1026","0","0","0"
"nvs_pagemanager.cpp.obj","1044","0","0","0","0","0","0","0","0","1044","1044","0","0","0"
"nvs_partition_manager.cpp.obj","1043","4","4","0","0","0","16","16","0","1023","1023","0","0","0"
"bootloader_flash.c.obj","1038","998","0","0","998","0","40","40","0","0","0","0","0","0"
"crypto_mbedtls.c.obj","1033","0","0","0","0","0","0","0","0","1033","1033","0","0","0"
"cdc.c.obj","1028","4","4","0","0","0","130","130","0","894","894","0","0","0"
"locks.c.obj","1025","810","168","8","634","0","95","95","0","120","120","0","0","0"
"memspi_host_driver.c.obj","982","982","0","257","725","0","0","0","0","0","0","0","0","0"
"panic.c.obj","973","48","6","12","30","0","16","16","0","909","909","0","0","0"
"hal_tsf.o","968","42","8","0","34","0","0","0","0","926","926","0","0","0"
"hal_ampdu.o","945","0","0","0","0","0","149","149","0","796","796","0","0","0"
"cmac.c.obj","929","0","0","0","0","0","0","0","0","929","929","0","0","0"
"partition_target.c.obj","924","0","0","0","0","0","131","131","0","793","793","0","0","0"
"log_binary_heap.c.obj","912","260","260","0","0","0","48","48","0","604","604","0","0","0"
"tcpip.c.obj","910","12","12","0","0","0","118","118","0","780","780","0","0","0"
"sar_periph_ctrl_common.c.obj","906","13","4","9","0","0","33","33","0","860","860","0","0","0"
"partition.c.obj","906","8","8","0","0","0","37","37","0","861","861","0","0","0"
"esp_efuse_utility.c.obj","896","4","4","0","0","0","141","141","0","751","751","0","0","0"
"heap_caps_init.c.obj","894","4","4","0","0","0","57","57","0","833","833","0","0","0"
"ieee80211_action.o","890","328","0","328","0","0","7","7","0","555","555","0","0","0"
"libc_a-nano-vfprintf.o","881","0","0","0","0","0","0","0","0","881","881","0","0","0"
"pmksa_cache_auth.c.obj","878","0","0","0","0","0","0","0","0","878","878","0","0","0"
"dragonfly.c.obj","858","0","0","0","0","0","0","0","0","858","858","0","0","0"
"clk.c.obj","857","0","0","0","0","0","17","17","0","840","840","0","0","0"
"oid.c.obj","846","0","0","0","0","0","553","553","0","293","293","0","0","0"
"spi_flash_chip_winbond.c.obj","842","842","0","140","702","0","0","0","0","0","0","0","0","0"
"event_groups.c.obj","841","0","0","0","0","0","98","98","0","743","743","0","0","0"
"multi_heap.c.obj","839","520","0","0","520","0","49","49","0","270","270","0","0","0"
"aes-ccm.c.obj","833","0","0","0","0","0","0","0","0","833","833","0","0","0"
"esp_aes_xts.c.obj","816","0","0","0","0","0","0","0","0","816","816","0","0","0"
"cache_hal.c.obj","808","808","4","88","716","0","0","0","0","0","0","0","0","0"
"dwc2_common.c.obj","805","0","0","0","0","0","16","16","0","789","789","0","0","0"
"esp_sha512.c.obj","772","0","0","0","0","0","128","128","0","644","644","0","0","0"
"icmp.c.obj","755","0","0","0","0","0","30","30","0","725","725","0","0","0"
"crypto_mbedtls-bignum.c.obj","748","0","0","0","0","0","0","0","0","748","748","0","0","0"
"pk_wrap.c.obj","747","0","0","0","0","0","192","192","0","555","555","0","0","0"
"libc_a-fseeko.o","742","0","0","0","0","0","0","0","0","742","742","0","0","0"
"fastpbkdf2.c.obj","741","0","0","0","0","0","12","12","0","729","729","0","0","0"
"ieee80211_nan_common.o","739","356","356","0","0","0","51","51","0","332","332","0","0","0"
"cxx_guards.cpp.obj","730","24","16","8","0","0","0","0","0","706","706","0","0","0"
"hmac_drbg.c.obj","729","0","0","0","0","0","0","0","0","729","729","0","0","0"
"nvs_handle_simple.cpp.obj","726","0","0","0","0","0","128","128","0","598","598","0","0","0"
"libc_a-fvwrite.o","707","0","0","0","0","0","0","0","0","707","707","0","0","0"
"esp_timer_impl_systimer.c.obj","706","220","20","0","200","0","62","62","0","424","424","0","0","0"
"debug_helpers.c.obj","698","698","0","0","698","0","0","0","0","0","0","0","0","0"
"aes-siv.c.obj","697","0","0","0","0","0","16","16","0","681","681","0","0","0"
"wifi_init.c.obj","668","1","1","0","0","0","8","8","0","659","659","0","0","0"
"time.c.obj","665","148","20","0","128","0","0","0","0","517","517","0","0","0"
"ccmp.c.obj","664","0","0","0","0","0","0","0","0","664","664","0","0","0"
"phy_common.c.obj","655","46","30","1","15","0","40","40","0","569","569","0","0","0"
"pthread.c.obj","653","8","0","8","0","0","43","43","0","602","597","0","0","0"
"ieee80211_regdomain.o","650","0","0","0","0","0","0","0","0","650","650","0","0","0"
"timeouts.c.obj","646","12","12","0","0","0","83","83","0","551","551","0","0","0"
"ccm.c.obj","645","0","0","0","0","0","0","0","0","645","645","0","0","0"
"entropy.c.obj","640","0","0","0","0","0","0","0","0","640","640","0","0","0"
"hal_sniffer.o","640","0","0","0","0","0","0","0","0","640","640","0","0","0"
"usbd_control.c.obj","639","84","84","0","0","0","0","0","0","555","555","0","0","0"
"icmp6.c.obj","635","0","0","0","0","0","61","61","0","574","574","0","0","0"
"esp_rom_regi2c_esp32s2.c.obj","628","577","0","0","577","0","51","51","0","0","0","0","0","0"
"rate_control.o","626","0","0","0","0","0","344","344","0","282","282","0","0","0"
"cpu_start.c.obj","611","578","0","0","578","0","0","0","0","33","33","0","0","0"
"esp_sha1.c.obj","599","0","0","0","0","0","64","64","0","535","535","0","0","0"
"asn1parse.c.obj","590","0","0","0","0","0","0","0","0","590","590","0","0","0"
"base64.c.obj","576","0","0","0","0","0","0","0","0","576","576","0","0","0"
"memory_layout_utils.c.obj","564","0","0","0","0","0","27","27","0","537","537","0","0","0"
"xtensa_intr_asm.S.obj","563","563","0","512","51","0","0","0","0","0","0","0","0","0"
"wifi_netif.c.obj","557","84","24","0","60","0","0","0","0","473","473","0","0","0"
"pp_timer.o","555","116","4","112","0","0","26","26","0","413","413","0","0","0"
"systimer_hal.c.obj","533","533","0","0","533","0","0","0","0","0","0","0","0","0"
"esp_sha256.c.obj","532","0","0","0","0","0","64","64","0","468","468","0","0","0"
"spi_flash_hal.c.obj","526","0","0","0","0","0","0","0","0","526","526","0","0","0"
"ieee80211_proto.o","524","1","1","0","0","0","0","0","0","523","523","0","0","0"
"eh_alloc.o","524","16","16","0","0","0","12","12","0","496","496","0","0","0"
"memory_layout.c.obj","512","0","0","0","0","0","512","512","0","0","0","0","0","0"
"pthread_local_storage.c.obj","506","12","4","8","0","0","46","46","0","448","448","0","0","0"
"spi_flash_os_func_app.c.obj","505","431","0","56","375","0","25","25","0","49","49","0","0","0"
"regi2c_ctrl.c.obj","500","327","4","12","311","0","0","0","0","173","173","0","0","0"
"inet_chksum.c.obj","499","0","0","0","0","0","0","0","0","499","499","0","0","0"
"storage.cpp.obj","498","0","0","0","0","0","96","96","0","402","402","0","0","0"
"esp_cpu_intr.c.obj","492","0","0","0","0","0","406","406","0","86","86","0","0","0"
"core_dump_common.c.obj","489","4","4","0","0","0","85","85","0","400","400","0","0","0"
"esp_flash_spi_init.c.obj","489","84","4","80","0","0","38","38","0","367","367","0","0","0"
"adc_share_hw_ctrl.c.obj","481","76","36","8","32","0","20","20","0","385","385","0","0","0"
"mpi_hal.c.obj","478","0","0","0","0","0","0","0","0","478","478","0","0","0"
"panic_handler.c.obj","475","68","4","8","56","0","0","0","0","407","407","0","0","0"
"tinyusb.c.obj","473","4","4","0","0","0","23","23","0","446","446","0","0","0"
"descriptors_control.c.obj","473","118","118","0","0","0","0","0","0","355","355","0","0","0"
"newlib_init.c.obj","472","144","0","144","0","0","16","16","0","312","312","0","0","0"
"esp_netif_handlers.c.obj","469","0","0","0","0","0","27","27","0","442","442","0","0","0"
"comeback_token.c.obj","466","0","0","0","0","0","0","0","0","466","466","0","0","0"
"ieee80211_ftm.o","465","65","65","0","0","0","0","0","0","400","400","0","0","0"
"rtc_module.c.obj","462","223","4","32","187","0","0","0","0","239","239","0","0","0"
"dh_groups.c.obj","459","0","0","0","0","0","417","417","0","42","42","0","0","0"
"new_handler.o","452","8","8","0","0","0","174","174","0","270","270","0","0","0"
"ets_timer_legacy.c.obj","452","261","0","0","261","0","47","47","0","144","144","0","0","0"
"ieee80211_action_vendor.o","450","12","12","0","0","0","0","0","0","438","438","0","0","0"
"tusb.c.obj","448","8","8","0","0","0","0","0","0","440","440","0","0","0"
"esp_wpas_glue.c.obj","448","0","0","0","0","0","0","0","0","448","448","0","0","0"
"sleep_modes.c.obj","447","124","12","112","0","0","26","26","0","269","269","28","0","28"
"flash_mmap.c.obj","440","173","0","0","173","0","17","17","0","250","250","0","0","0"
"libc_a-gdtoa-hexnan.o","436","0","0","0","0","0","0","0","0","436","436","0","0","0"
"nvs_item_hash_list.cpp.obj","435","0","0","0","0","0","0","0","0","435","435","0","0","0"
"gpio.c.obj","434","36","0","36","0","0","44","44","0","354","354","0","0","0"
"spi_flash_chip_gd.c.obj","430","430","0","127","303","0","0","0","0","0","0","0","0","0"
"ecdh.c.obj","427","0","0","0","0","0","0","0","0","427","427","0","0","0"
"memp.c.obj","420","4","4","0","0","0","146","146","0","270","270","0","0","0"
"sha_hal.c.obj","412","0","0","0","0","0","0","0","0","412","412","0","0","0"
"ieee80211_reg_db.o","407","230","0","230","0","0","49","49","0","128","128","0","0","0"
"system_internal.c.obj","407","391","0","0","391","0","16","16","0","0","0","0","0","0"
"rtc_sleep.c.obj","407","407","0","0","407","0","0","0","0","0","0","0","0","0"
"esp_common.c.obj","405","168","168","0","0","0","0","0","0","237","237","0","0","0"
"wlanif.c.obj","401","0","0","0","0","0","12","12","0","389","389","0","0","0"
"bignum_alt.c.obj","400","0","0","0","0","0","0","0","0","400","400","0","0","0"
"ieee80211_mesh_quick.o","399","187","180","7","0","0","0","0","0","212","212","0","0","0"
"ip4_frag.c.obj","398","0","0","0","0","0","9","9","0","389","389","0","0","0"
"portasm.S.obj","393","393","0","0","393","0","0","0","0","0","0","0","0","0"
"pm_coex.o","388","262","0","0","262","0","58","58","0","68","68","0","0","0"
"esp_clk.c.obj","386","81","0","9","72","0","0","0","0","281","281","24","24","0"
"ethernet.c.obj","385","0","0","0","0","0","28","28","0","357","357","0","0","0"
"cache_utils.c.obj","383","362","8","0","354","0","0","0","0","21","21","0","0","0"
"interrupts.c.obj","380","0","0","0","0","0","380","380","0","0","0","0","0","0"
"ieee80211_crypto_sms4.o","378","24","0","24","0","0","61","61","0","293","293","0","0","0"
"sta_info.c.obj","376","0","0","0","0","0","0","0","0","376","376","0","0","0"
"aes_hal.c.obj","374","0","0","0","0","0","0","0","0","374","374","0","0","0"
"reset_reason.c.obj","373","76","4","0","72","0","30","30","0","267","267","0","0","0"
"nvs_types.cpp.obj","372","0","0","0","0","0","0","0","0","372","372","0","0","0"
"libc_a-locale.o","368","4","0","4","0","0","364","364","0","0","0","0","0","0"
"ip6_frag.c.obj","362","4","4","0","0","0","9","9","0","349","349","0","0","0"
"tcp_isn_default.c.obj","360","68","68","0","0","0","0","0","0","292","292","0","0","0"
"locale-inst.o","360","96","96","0","0","0","4","4","0","260","260","0","0","0"
"wlocale-inst.o","360","96","96","0","0","0","4","4","0","260","260","0","0","0"
"functexcept.o","349","0","0","0","0","0","122","122","0","227","227","0","0","0"
"cow-string-inst.o","348","16","16","0","0","0","0","0","0","332","332","0","0","0"
"esp_netif_objects.c.obj","346","8","8","0","0","0","38","38","0","300","300","0","0","0"
"si_class_type_info.o","346","0","0","0","0","0","44","44","0","302","302","0","0","0"
"nvs_partition.cpp.obj","343","0","0","0","0","0","104","104","0","239","239","0","0","0"
"spi_flash_encrypt_hal_iram.c.obj","340","340","0","36","304","0","0","0","0","0","0","0","0","0"
"libc_a-strtol.o","338","0","0","0","0","0","0","0","0","338","338","0","0","0"
"lib_printf.c.obj","330","0","0","0","0","0","0","0","0","330","165","0","0","0"
"libc_a-findfp.o","328","328","316","12","0","0","0","0","0","0","0","0","0","0"
"acd_dhcp_check.c.obj","324","0","0","0","0","0","0","0","0","324","324","0","0","0"
"crosscore_int.c.obj","322","190","4","8","178","0","46","46","0","86","86","0","0","0"
"ieee802_11_common.c.obj","322","0","0","0","0","0","0","0","0","322","322","0","0","0"
"assert.c.obj","320","320","0","0","320","0","0","0","0","0","0","0","0","0"
"class_type_info.o","319","0","0","0","0","0","44","44","0","275","275","0","0","0"
"freertos_hooks.c.obj","318","104","64","8","32","0","0","0","0","214","214","0","0","0"
"heap_idf.c.obj","318","93","0","0","93","0","0","0","0","225","225","0","0","0"
"task_wdt_impl_timergroup.c.obj","314","12","12","0","0","0","0","0","0","302","302","0","0","0"
"misc_nvs.o","314","33","33","0","0","0","43","43","0","238","238","0","0","0"
"lwip_default_hooks.c.obj","314","0","0","0","0","0","0","0","0","314","314","0","0","0"
"ieee80211_crypto_tkip.o","311","24","0","24","0","0","0","0","0","287","287","0","0","0"
"windowspill_asm.o","311","311","0","0","311","0","0","0","0","0","0","0","0","0"
"esp_efuse_startup.c.obj","310","0","0","0","0","0","56","56","0","254","254","0","0","0"
"brownout_hal.c.obj","309","0","0","0","0","0","0","0","0","309","309","0","0","0"
"ap_config.c.obj","309","0","0","0","0","0","0","0","0","309","309","0","0","0"
"app_startup.c.obj","308","0","0","0","0","0","32","32","0","276","276","0","0","0"
"pp_debug.o","302","279","252","4","23","0","0","0","0","23","23","0","0","0"
"constant_time.c.obj","298","0","0","0","0","0","0","0","0","298","298","0","0","0"
"libc_a-strtoul.o","298","0","0","0","0","0","0","0","0","298","298","0","0","0"
"brownout.c.obj","289","203","0","47","156","0","5","5","0","81","81","0","0","0"
"libc_a-refill.o","289","0","0","0","0","0","0","0","0","289","289","0","0","0"
"libc_a-__atexit.o","280","140","140","0","0","0","0","0","0","140","140","0","0","0"
"list.c.obj","279","231","0","0","231","0","0","0","0","48","48","0","0","0"
"esp_coex_adapter.c.obj","277","118","0","0","118","0","0","0","0","159","159","0","0","0"
"esp_sha.c.obj","272","0","0","0","0","0","0","0","0","272","272","0","0","0"
"asn1write.c.obj","271","0","0","0","0","0","0","0","0","271","271","0","0","0"
